Tipologia de Negocio              ,Subtipologia de Negocio           ,ID Categoría Google,     ,
Empresas de construccion          ,Obra Mayor                        ,10282              ,     ,
Empresas de construccion          ,Reformas                          ,10282              ,     ,
Empresas de construccion          ,Tecnicos                          ,10282              ,     ,
Empresas de construccion          ,Obra menor                        ,10282              ,     ,
Empresas de construccion          ,Tiendas de materiales construccion,10282              ,     ,
Empresas de construccion          ,Ascensores                        ,13464              ,     ,
Empresas de construccion          ,Puertas automaticas               ,10282              ,     ,
Empresas de construccion          ,Cerrajería                        ,10282              ,     ,
Empresa inmobiliaria              ,Alquiler de inmuebles             ,10039              ,     ,
Empresa inmobiliaria              ,Venta de inmuebles                ,10039              ,     ,
Empresa inmobiliaria              ,Mudanzas                          ,10249              ,     ,
Empresas de salud                 ,Odontologia                       ,10514              ,10085,
Empresas de salud                 ,Dietetica y nutricion             ,10086              ,10082,
Empresas de salud                 ,Cirugia estetica                  ,10091              ,     ,
Empresas de salud                 ,Fisioterapia                      ,10091              ,     ,
Empresas de salud                 ,Psicologia                        ,10085              ,10091,
Empresas de salud                 ,Residencias Geriatricas           ,10085              ,     ,
Empresas de finanzas              ,Asesoramiento a empresas          ,10096              ,     ,
Empresas de finanzas              ,Banca                             ,10093              ,10097,
Empresas de finanzas              ,Seguros                           ,10102              ,     ,
Empresas de estetica              ,Perfumes y fragancias             ,10057              ,     ,
Empresas de estetica              ,Maquillaje y cosmetica            ,10054              ,     ,
Empresas de estetica              ,Peluquerias                       ,10055              ,     ,
Empresas de estetica              ,Manicura                          ,10051              ,     ,
Empresas de vehiculos             ,Venta de coches                   ,10024              ,     ,
Empresas de vehiculos             ,Alquiler de coches                ,10146              ,     ,
Empresas de vehiculos             ,Taller de vehiculos               ,10193              ,     ,
Empresas de vehiculos             ,Bicicletas                        ,10121              ,     ,
Empresas de vehiculos             ,Autocaravanas                     ,10024              ,     ,
Empresas de vehiculos             ,Alquiler de autocares             ,10146              ,     ,
Empresas de vehiculos             ,Desguaces de vehiculos            ,10026              ,     ,
Empresas de packaging             ,                                  ,10301              ,10305,
Empresas de limpieza              ,Industrial                        ,10308              ,     ,
Empresas de limpieza              ,Desifeccion y plagas              ,10308              ,     ,
Empresas de restauracion          ,Restaurante                       ,13844              ,10169,
Empresas de restauracion          ,Bar                               ,10169              ,10301,
Empresas de restauracion          ,Cerveceria                        ,10083              ,10126,
Empresas de restauracion          ,Cafeteria                         ,10126              ,     ,
Empresas de restauracion          ,Bodegas y vino                    ,10126              ,     ,
Empresas de seguridad             ,Alarmas                           ,10299              ,     ,
Empresas de publicidad            ,Impresion y carteleria            ,10276              ,10307,10273
Empresas de comercializacion      ,zapateria                         ,10177              ,     ,
Empresas de comercializacion      ,Tiendas de ropa                   ,10178              ,10176,
Empresas de Abogacia              ,                                  ,10163              ,     ,
empresas de energía               ,                                  ,10295              ,     ,
Empresas de viajes                ,Alojamiento                       ,10142              ,     ,
Empresas de educacion             ,Academias                         ,10141              ,     ,
Empresas de educacion             ,Guarderia infantil                ,10141              ,     ,
Empresas de regalos               ,Floristeria                       ,10405              ,10362,
Empresas de ocasion extraordinaria,Funeraria                         ,13493              ,     ,
Empresas mascotas                 ,Veterinario                       ,11235              ,10130,
