id                           ,lvl1                            ,lvl2
10564                        ,Arts & Entertainment            ,Event Entertainment
13751                        ,Arts & Entertainment            ,Event Entertainment
13492                        ,Arts & Entertainment            ,Event Entertainment
10111                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
13499                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
10606                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
10602                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
11881                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
11880                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
13498                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
13500                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
13852                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
11885                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
11886                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
10603                        ,Arts & Entertainment            ,"Events, Shows & Cultural Attractions"
13425                        ,Arts & Entertainment            ,Fun & Trivia
13489                        ,Arts & Entertainment            ,Fun & Trivia
10106                        ,Arts & Entertainment            ,Humor & Jokes
13417                        ,Arts & Entertainment            ,Movies & Films
13515                        ,Arts & Entertainment            ,Movies & Films
13516                        ,Arts & Entertainment            ,Movies & Films
13517                        ,Arts & Entertainment            ,Movies & Films
13853                        ,Arts & Entertainment            ,Movies & Films
13518                        ,Arts & Entertainment            ,Movies & Films
13663                        ,Arts & Entertainment            ,Movies & Films
13519                        ,Arts & Entertainment            ,Movies & Films
13520                        ,Arts & Entertainment            ,Movies & Films
13523                        ,Arts & Entertainment            ,Movies & Films
13521                        ,Arts & Entertainment            ,Movies & Films
13522                        ,Arts & Entertainment            ,Movies & Films
13524                        ,Arts & Entertainment            ,Movies & Films
13532                        ,Arts & Entertainment            ,Movies & Films
13531                        ,Arts & Entertainment            ,Movies & Films
13729                        ,Arts & Entertainment            ,Movies & Films
13525                        ,Arts & Entertainment            ,Movies & Films
13528                        ,Arts & Entertainment            ,Movies & Films
10554                        ,Arts & Entertainment            ,Movies & Films
13527                        ,Arts & Entertainment            ,Movies & Films
13534                        ,Arts & Entertainment            ,Movies & Films
13526                        ,Arts & Entertainment            ,Movies & Films
13535                        ,Arts & Entertainment            ,Movies & Films
13533                        ,Arts & Entertainment            ,Movies & Films
13529                        ,Arts & Entertainment            ,Movies & Films
10109                        ,Arts & Entertainment            ,Music & Audio
13799                        ,Arts & Entertainment            ,Music & Audio
13538                        ,Arts & Entertainment            ,Music & Audio
10593                        ,Arts & Entertainment            ,Music & Audio
13539                        ,Arts & Entertainment            ,Music & Audio
13540                        ,Arts & Entertainment            ,Music & Audio
13541                        ,Arts & Entertainment            ,Music & Audio
13542                        ,Arts & Entertainment            ,Music & Audio
13552                        ,Arts & Entertainment            ,Music & Audio
13543                        ,Arts & Entertainment            ,Music & Audio
13545                        ,Arts & Entertainment            ,Music & Audio
13544                        ,Arts & Entertainment            ,Music & Audio
13672                        ,Arts & Entertainment            ,Music & Audio
10596                        ,Arts & Entertainment            ,Music & Audio
10595                        ,Arts & Entertainment            ,Music & Audio
13427                        ,Arts & Entertainment            ,Music & Audio
10591                        ,Arts & Entertainment            ,Music & Audio
10590                        ,Arts & Entertainment            ,Music & Audio
10592                        ,Arts & Entertainment            ,Music & Audio
13855                        ,Arts & Entertainment            ,Music & Audio
11879                        ,Arts & Entertainment            ,Music & Audio
13537                        ,Arts & Entertainment            ,Music & Audio
11877                        ,Arts & Entertainment            ,Music & Audio
11878                        ,Arts & Entertainment            ,Music & Audio
13424                        ,Arts & Entertainment            ,Music & Audio
13546                        ,Arts & Entertainment            ,Music & Audio
10570                        ,Arts & Entertainment            ,Music & Audio
10587                        ,Arts & Entertainment            ,Music & Audio
11865                        ,Arts & Entertainment            ,Music & Audio
12971                        ,Arts & Entertainment            ,Music & Audio
10588                        ,Arts & Entertainment            ,Music & Audio
13547                        ,Arts & Entertainment            ,Music & Audio
13548                        ,Arts & Entertainment            ,Music & Audio
13549                        ,Arts & Entertainment            ,Music & Audio
13550                        ,Arts & Entertainment            ,Music & Audio
13551                        ,Arts & Entertainment            ,Music & Audio
13553                        ,Arts & Entertainment            ,Music & Audio
13554                        ,Arts & Entertainment            ,Music & Audio
10589                        ,Arts & Entertainment            ,Music & Audio
13568                        ,Arts & Entertainment            ,Music & Audio
13555                        ,Arts & Entertainment            ,Music & Audio
13556                        ,Arts & Entertainment            ,Music & Audio
13557                        ,Arts & Entertainment            ,Music & Audio
13743                        ,Arts & Entertainment            ,Music & Audio
13558                        ,Arts & Entertainment            ,Music & Audio
13832                        ,Arts & Entertainment            ,Music & Audio
13559                        ,Arts & Entertainment            ,Music & Audio
13560                        ,Arts & Entertainment            ,Music & Audio
13561                        ,Arts & Entertainment            ,Music & Audio
13562                        ,Arts & Entertainment            ,Music & Audio
13563                        ,Arts & Entertainment            ,Music & Audio
13564                        ,Arts & Entertainment            ,Music & Audio
13565                        ,Arts & Entertainment            ,Music & Audio
13566                        ,Arts & Entertainment            ,Offbeat
13567                        ,Arts & Entertainment            ,Offbeat
10110                        ,Arts & Entertainment            ,Sports Entertainment
10598                        ,Arts & Entertainment            ,Sports Entertainment
13635                        ,Arts & Entertainment            ,Sports Entertainment
10597                        ,Arts & Entertainment            ,Sports Entertainment
11883                        ,Arts & Entertainment            ,Sports Entertainment
10599                        ,Arts & Entertainment            ,Sports Entertainment
10103                        ,Arts & Entertainment            ,TV & Video
13511                        ,Arts & Entertainment            ,TV & Video
10561                        ,Arts & Entertainment            ,TV & Video
13824                        ,Arts & Entertainment            ,TV & Video
10558                        ,Arts & Entertainment            ,TV & Video
10553                        ,Arts & Entertainment            ,TV & Video
13572                        ,Arts & Entertainment            ,TV & Video
10560                        ,Arts & Entertainment            ,TV & Video
